"Property","PascalCase","MatchCount","Status"
"to-barline","ToBarline","2","Mention"
"toe-heel-style","ToeHeelStyle","0","Absent"
"toward-stem-shift","TowardStemShift","0","Absent"
"toward-stem-shift-in-column","TowardStemShiftInColumn","0","Absent"
"transparent","Transparent","4","Used"
"tremolo-flag","TremoloFlag","0","Absent"
"tuplet-number","TupletNumber","1","Mention"
"tuplet-slur","TupletSlur","0","Absent"
"tuplets","Tuplets","14","Used"
"uniform-stretching","UniformStretching","0","Absent"
"usable-duration-logs","UsableDurationLogs","0","Absent"
"used","Used","43","Used"
"vertical-alignment","VerticalAlignment","0","Absent"
"vertical-skyline-elements","VerticalSkylineElements","0","Absent"
"vertical-skylines","VerticalSkylines","0","Absent"
"vertically-spanning-surrogate","VerticallySpanningSurrogate","0","Absent"
"virga","Virga","0","Absent"
"visible-over-note-heads","VisibleOverNoteHeads","0","Absent"
"voiced-position","VoicedPosition","0","Absent"
"volta-number-offset","VoltaNumberOffset","0","Absent"
"volta-numbers","VoltaNumbers","0","Absent"
"when","When","115","Used"
"whiteout","Whiteout","0","Absent"
"whiteout-color","WhiteoutColor","0","Absent"
"whiteout-style","WhiteoutStyle","0","Absent"
"widened-extent","WidenedExtent","0","Absent"
"width","Width","454","Used"
"woodwind-diagram-details","WoodwindDiagramDetails","0","Absent"
"word-space","WordSpace","0","Absent"
"X-align-on-main-noteheads","XAlignOnMainNoteheads","0","Absent"
"X-alignment-extent","XAlignmentExtent","0","Absent"
"X-attachment","XAttachment","0","Absent"
"X-common","XCommon","0","Absent"
"X-extent","XExtent","0","Absent"
"X-offset","XOffset","13","Used"
"X-padding","XPadding","0","Absent"
"X-positions","XPositions","0","Absent"
"Y-attachment","YAttachment","0","Absent"
"Y-common","YCommon","0","Absent"
"Y-extent","YExtent","0","Absent"
"Y-offset","YOffset","12","Used"
"zigzag-length","ZigzagLength","0","Absent"
"zigzag-width","ZigzagWidth","1","Mention"
